"","Variable","mean.RMSE","orig.RMSE","K.or.D"
"267","Functional","0.1144","0.114406","KEEP"
"268","FullBath","0.114503","0.1144","DROP"
"269","Foundation","0.113724","0.1144","KEEP"
"270","FirstFlrSF","0.114133","0.113724","DROP"
"271","FirstFloorOnly","0.1143","0.113724","DROP"
"272","Fireplaces","0.113364","0.113724","KEEP"
"273","FireplaceQu","0.113252","0.113364","KEEP"
"274","Fence","0.113103","0.113252","KEEP"
"275","ExterQual","0.113411","0.113103","DROP"
"276","Exterior2nd","0.113086","0.113103","KEEP"
"277","Exterior1st","0.113154","0.113086","DROP"
"278","ExterCond","0.113453","0.113086","DROP"
"279","Electrical","0.113483","0.113086","DROP"
"280","DecadeBuilt","0.113507","0.113086","DROP"
"281","CrimeLevel","0.113903","0.113086","DROP"
"282","countTA","0.11381","0.113086","DROP"
"283","countPo","0.113607","0.113086","DROP"
"284","countGd","0.113416","0.113086","DROP"
"285","countFa","0.113721","0.113086","DROP"
"286","countEx","0.113411","0.113086","DROP"
"287","Condition1","0.113345","0.113086","DROP"
"288","CentralAir","0.112588","0.113086","KEEP"
"289","BuiltAndSold","0.112801","0.112588","DROP"
"290","BsmtBaths","0.112472","0.112588","KEEP"
"291","BldgType","0.112818","0.112472","DROP"
"292","BedroomAbvGr","0.112517","0.112472","DROP"
"293","BathTotals","0.112426","0.112472","KEEP"
"294","Alley","0.111992","0.112426","KEEP"
"295","AgeOfHouse","0.110337","0.111992","KEEP"
"296","second test","0","0","second test"
"297","MSSubClass","0.30753","0.310679","KEEP"
"298","MSZoning","0.301937","0.30753","KEEP"
"299","LotFrontage","0.292136","0.301937","KEEP"
"300","LotArea","0.289868","0.292136","KEEP"
"301","Street","0.289638","0.289868","KEEP"
"302","Alley","0.288933","0.289638","KEEP"
"303","LotShape","0.283548","0.288933","KEEP"
"304","LandContour","0.282583","0.283548","KEEP"
"305","Utilities","0.283112","0.282583","DROP"
"306","LotConfig","0.282814","0.282583","DROP"
"307","LandSlope","0.282786","0.282583","DROP"
"308","Neighborhood","0.282243","0.282583","KEEP"
"309","Condition1","0.279593","0.282243","KEEP"
"310","BldgType","0.278706","0.279593","KEEP"
"311","HouseStyle","0.275019","0.278706","KEEP"
"312","OverallQual","0.185789","0.275019","KEEP"
"313","OverallCond","0.183654","0.185789","KEEP"
"314","RoofStyle","0.18316","0.183654","KEEP"
"315","RoofMatl","0.182982","0.18316","KEEP"
"316","Exterior1st","0.182888","0.182982","KEEP"
"317","Exterior2nd","0.183523","0.182888","DROP"
"318","MasVnrType","0.183221","0.182888","DROP"
"319","MasVnrArea","0.182499","0.182888","KEEP"
"320","ExterQual","0.175393","0.182499","KEEP"
"321","ExterCond","0.175056","0.175393","KEEP"
"322","Foundation","0.172846","0.175056","KEEP"
"323","Heating","0.171883","0.172846","KEEP"
"324","HeatingQC","0.1704","0.171883","KEEP"
"325","CentralAir","0.166233","0.1704","KEEP"
"326","Electrical","0.165035","0.166233","KEEP"
"327","FirstFlrSF","0.154457","0.165035","KEEP"
"328","GrLivArea","0.149547","0.154457","KEEP"
"329","FullBath","0.149861","0.149547","DROP"
"330","HalfBath","0.147849","0.149547","KEEP"
"331","BedroomAbvGr","0.147139","0.147849","KEEP"
"332","KitchenAbvGr","0.146245","0.147139","KEEP"
"333","KitchenQual","0.145253","0.146245","KEEP"
"334","TotRmsAbvGrd","0.14507","0.145253","KEEP"
"335","Functional","0.142357","0.14507","KEEP"
"336","Fireplaces","0.141821","0.142357","KEEP"
"337","FireplaceQu","0.141595","0.141821","KEEP"
"338","GarageType","0.140914","0.141595","KEEP"
"339","GarageYrBlt","0.139192","0.140914","KEEP"
"340","GarageFinish","0.138065","0.139192","KEEP"
"341","PavedDrive","0.137375","0.138065","KEEP"
"342","PoolArea","0.137407","0.137375","DROP"
"343","PoolQC","0.137494","0.137375","DROP"
"344","Fence","0.137028","0.137375","KEEP"
"345","MiscFeature","0.137507","0.137028","DROP"
"346","MiscVal","0.137071","0.137028","DROP"
"347","MoSold","0.137526","0.137028","DROP"
"348","YrSold","0.137309","0.137028","DROP"
"349","SaleType","0.137422","0.137028","DROP"
"350","SaleCondition","0.134269","0.137028","KEEP"
"351","GrLiveAreaByFirstFlrSF","0.133841","0.134269","KEEP"
"352","OverallCondByQual","0.134527","0.133841","DROP"
"353","GrLiveAreaLog","0.133486","0.133841","KEEP"
"354","BathTotals","0.133569","0.133486","DROP"
"355","BsmtBaths","0.128741","0.133486","KEEP"
"356","OverallQualCubed","0.128122","0.128741","KEEP"
"357","OverallQualExp","0.128329","0.128122","DROP"
"358","OverallCondCubed","0.128007","0.128122","KEEP"
"359","OverallCondExp","0.128066","0.128007","DROP"
"360","newBsmtQualSF","0.123235","0.128007","KEEP"
"361","newBsmtFinTypeSF","0.121548","0.123235","KEEP"
"362","newGarageSizeQual","0.120371","0.121548","KEEP"
"363","DecadeBuilt","0.120219","0.120371","KEEP"
"364","BuiltAndSold","0.120308","0.120219","DROP"
"365","SellingSeason","0.120531","0.120219","DROP"
"366","Season","0.120818","0.120219","DROP"
"367","NewHouseSubClass","0.120185","0.120219","KEEP"
"368","AgeOfHouse","0.118084","0.120185","KEEP"
"369","TimeSinceSold","0.118524","0.118084","DROP"
"370","OverallQualCut","0.118253","0.118084","DROP"
"371","OverallCondCut","0.118424","0.118084","DROP"
"372","RecentRemodel","0.118175","0.118084","DROP"
